product_id,sales_date,units_sold,price
prod_1,2025-03-21,34,43.67
prod_1,2025-03-22,48,130.26
prod_1,2025-03-23,9,89.33
prod_1,2025-03-24,38,154.01
prod_1,2025-03-25,22,81.29
prod_1,2025-03-26,21,69.16
prod_1,2025-03-27,27,74.45
prod_1,2025-03-28,28,166.66
prod_1,2025-03-29,33,94.54
prod_1,2025-03-30,34,88.36
prod_1,2025-03-31,16,101.94
prod_1,2025-04-01,40,140.84
prod_1,2025-04-02,15,116.03
prod_1,2025-04-03,24,124.68
prod_1,2025-04-04,31,74.82
prod_1,2025-04-05,41,44.4
prod_1,2025-04-06,21,27.45
prod_1,2025-04-07,47,67.4
prod_1,2025-04-08,13,196.55
prod_1,2025-04-09,29,163.84
prod_1,2025-04-10,24,72.46
prod_1,2025-04-11,44,119.59
prod_1,2025-04-12,39,18.04
prod_1,2025-04-13,19,139.57
prod_1,2025-04-14,46,24.51
prod_1,2025-04-15,37,11.51
prod_1,2025-04-16,7,18.43
prod_1,2025-04-17,2,94.1
prod_1,2025-04-18,20,193.41
prod_1,2025-04-19,49,64.42
prod_1,2025-04-20,3,101.33
prod_1,2025-04-21,29,110.81
prod_1,2025-04-22,34,186.19
prod_1,2025-04-23,30,143.21
prod_1,2025-04-24,26,60.07
prod_1,2025-04-25,36,129.64
prod_1,2025-04-26,11,162.75
prod_1,2025-04-27,27,166.2
prod_1,2025-04-28,21,143.78
prod_1,2025-04-29,17,38.96
prod_1,2025-04-30,22,111.33
prod_1,2025-05-01,15,39.14
prod_1,2025-05-02,38,30.77
prod_1,2025-05-03,45,61.65
prod_1,2025-05-04,49,55.33
prod_1,2025-05-05,0,149.11
prod_1,2025-05-06,5,84.84
prod_1,2025-05-07,18,117.66
prod_1,2025-05-08,10,98.46
prod_1,2025-05-09,31,17.06
prod_1,2025-05-10,37,129.24
prod_1,2025-05-11,25,149.9
prod_1,2025-05-12,30,76.8
prod_1,2025-05-13,3,111.56
prod_1,2025-05-14,44,81.35
prod_1,2025-05-15,19,118.09
prod_1,2025-05-16,16,66.98
prod_1,2025-05-17,17,96.05
prod_1,2025-05-18,12,116.86
prod_1,2025-05-19,32,95.54
prod_1,2025-05-20,6,194.3
prod_1,2025-05-21,11,116.88
prod_1,2025-05-22,15,144.18
prod_1,2025-05-23,34,45.39
prod_1,2025-05-24,35,60.86
prod_1,2025-05-25,20,152.83
prod_1,2025-05-26,38,124.09
prod_1,2025-05-27,5,161.83
prod_1,2025-05-28,1,166.05
prod_1,2025-05-29,21,65.94
prod_1,2025-05-30,43,41.38
prod_1,2025-05-31,19,196.0
prod_1,2025-06-01,10,195.97
prod_1,2025-06-02,34,90.42
prod_1,2025-06-03,31,42.84
prod_1,2025-06-04,14,27.2
prod_1,2025-06-05,23,192.36
prod_1,2025-06-06,29,167.04
prod_1,2025-06-07,12,38.71
prod_1,2025-06-08,42,60.48
prod_1,2025-06-09,28,123.58
prod_1,2025-06-10,8,113.83
prod_1,2025-06-11,42,118.39
prod_1,2025-06-12,9,66.87
prod_1,2025-06-13,18,199.58
prod_1,2025-06-14,45,160.99
prod_1,2025-06-15,7,34.72
prod_1,2025-06-16,31,148.13
prod_1,2025-06-17,3,124.02
prod_1,2025-06-18,10,34.96
prod_1,2025-06-19,39,55.71
prod_1,2025-06-20,22,15.62
prod_1,2025-06-21,14,21.76
